clusterNumber;nu0_1_meanValue;nu0_1_deviation;nu1_1_meanValue;nu1_1_deviation;nu2_1_meanValue;nu2_1_deviation;nu3_1_meanValue;nu3_1_deviation;nu4_1_meanValue;nu4_1_deviation;nu0_2_meanValue;nu0_2_deviation;nu1_2_meanValue;nu1_2_deviation;nu2_2_meanValue;nu2_2_deviation;nu3_2_meanValue;nu3_2_deviation;nu4_2_meanValue;nu4_2_deviation;
1502;5.867273346429338;0.6073745796940266;0.661130720655452;0.460766922526503;5.643522136323664;0.317649923862968;0.4169591583014453;0.43109632524259944;6.278996516974799;0.5986479334340551;0.15498523757709648;0.6283185307179586;5.781054081380818;0.5340707511102648;0.6419320988835143;0.445058959258554;5.713684372253836;0.4625122517784973;0.2621484536495483;0.582939970166106;
1503;0.026878070480712675;0.5393067388662478;5.847027527106203;0.4799655442984406;0.6511823439190844;0.5026548245743668;5.628512304756513;0.5934119456780721;0.3988077340807043;0.6318091892219473;0.006108652381980153;0.6056292504420324;5.861164694047357;0.4886921905584123;0.6499606134426883;0.35604716740684317;5.618912993870544;0.4136430327226561;0.41870448755343964;0.5846852994181003;
1507;0.006108652381980153;0.7836528341454541;5.874778262212913;0.6702064327658225;0.6342526501747394;0.5323254218582705;5.636366286390488;0.5096361415823442;0.4043927876870862;0.6963863715457376;5.87582545976411;0.6283185307179586;0.6298893270447536;0.41015237421866746;5.68174484694234;0.4974188368183839;0.3825761720371571;0.7051130178057091;0.011868238913561443;0.7801621756414652;
1508;0.014486232791552934;0.5602506898901798;5.881585046295691;0.7225663103256524;0.6154030942532006;0.6789330790257941;5.660102764217611;0.445058959258554;0.38362336958835364;0.30717794835100204;0.11885692206081383;0.38048177693476387;5.854706975814978;0.23212879051524585;0.5592034923389831;0.39269908169872414;5.776865291176032;0.5515240436302081;0.24626595745639987;0.5532693728822025;
1512;5.857499502618169;1.171115928088195;0.6424556976591127;0.815068760681352;5.677730589662753;0.7627088831215221;0.37611845380477804;1.0733774899765127;0.028274333882308142;1.2985249634837812;0.04084070449666731;0.8342673824532897;5.865353484252144;0.6579891280018623;0.6117379028240124;0.4642575810304917;5.678428721363551;0.5515240436302081;0.35674529910764097;0.7906341511534314;
1513;5.918411493512772;0.8045967851693859;0.5899212871740833;0.41189770347066174;5.704957725993865;0.7714355293814937;0.383797902513553;1.1397000015522971;6.268524541462835;1.1798425743481666;0.07766715171374766;0.7452555906015785;5.815786133495505;0.6946410422937431;0.65868725970266;0.5532693728822025;5.652248782583636;0.4869468613064179;0.3501130479500625;0.6161012259539983;
1516;5.8465039283306055;0.6876597252857658;0.6764896180730021;0.5619960191421741;5.63880974734328;0.3316125578789226;0.40980330836826856;0.36302848441482055;0.01361356816555577;0.5969026041820608;5.788733530089593;0.6894050545377601;0.7520623746843565;0.5375614096142536;5.574581630869888;0.3979350694547071;0.44121923490416654;0.46949356878647464;0.029321531433504733;0.6527531402458794;
1517;0.018500490071139894;1.2915436464758039;5.86954227445693;1.0349802464326374;0.6302383928951524;0.5044001538263613;5.646663728977254;0.46774823953448036;0.3899065548955332;1.0297442586766543;0.07173303225696695;0.6806784082777885;5.820673055401088;0.603883921190038;0.6581636609270617;0.41887902047863906;5.649281722855246;0.3577924966588375;0.3546509040052478;0.5532693728822025;
1520;5.881934112146089;1.0245082709206714;0.6120869686744114;0.778416846389471;5.704085061367867;0.6544984694978736;0.36459928074161546;0.7836528341454541;0.020245819323134222;1.0227629416686772;0.07801621756414652;0.7487462491055674;5.865702550102542;0.7243116395776468;0.5773549165597242;0.5689773361501513;5.734453790352569;0.4520402762665313;0.2991494337918281;0.5986479334340551;
1522;5.984035873387758;0.6876597252857658;0.6199409503083859;0.3944444109507184;5.597794509921413;0.35430183815484884;0.5316272901574728;0.62482787221397;6.133610590283672;0.7819075048934596;6.2276838369661665;1.0471975511965976;5.952096348076261;0.8674286382411817;0.5691518690753509;0.5899212871740833;5.665862350749192;0.6126105674500095;0.42551127163621755;0.9250245035569946;
1526;6.27585492432121;0.4886921905584123;5.889439027929666;0.35430183815484884;0.6211626807847819;0.38048177693476387;5.641078675370872;0.4904375198104066;0.4106759729942658;0.5672320068981571;0.09005898940290741;0.6475171524898963;5.837428216220234;0.7173303225696694;0.6155776271784;0.7173303225696694;5.703910528442668;0.6265732014659643;0.30944687637859464;0.5689773361501513;
19;0.015358897417550098;0.7592182246175333;5.856452305066973;0.7400196028455958;0.6527531402458793;0.6754424205218056;5.62345084992573;0.6667157742618338;0.4064871827894793;0.7016223593017205;0.08848819307611251;1.0471975511965976;5.815088001794708;0.9826203688728075;0.6483898171158934;0.7819075048934596;5.669003943402782;0.6928957130417489;0.3321361566545209;0.8761552845011533;
201;5.940751707938298;0.6684611035138281;0.6185446869067903;0.4206243497306334;5.638111615642482;0.5270894341022875;0.4642575810304917;0.7661995416255106;6.203947359139043;0.8412486994612668;5.930105199501133;0.6387905062299246;0.5893976883984852;0.5637413483941683;5.691867756603908;0.6387905062299246;0.40229839258469297;0.7696902001294993;6.2496749855412945;0.7557275661135446;
207;5.934992121406718;1.069886831472524;0.5670574739729577;0.7016223593017205;5.71892036000982;0.45029494701453704;0.37768925013157295;0.778416846389471;6.262241356155654;1.111774733520388;5.714731569805033;0.6283185307179586;0.6164502918043973;0.5166174585903215;5.851565383161388;0.6736970912698113;0.11414453308042916;0.8744099552491591;0.28256880589788197;0.8552113334772214;
209;5.736897251305361;1.5969762655748114;0.49323004661359754;1.0908307824964558;6.021734985230835;1.1414453308042916;6.237981279552933;1.6231562043547263;0.36948620264719956;1.8622663118779497;5.744751232939335;1.3753194505715316;0.6782349473249965;1.246165085923951;5.727123407494192;1.3369222070276563;0.26127578902355114;1.52367243699105;0.1710422666954443;1.5428710587629875;
210;5.93743558235951;1.6510814723866358;0.06405358354819189;2.1362830044410592;0.21781709064889232;2.10835773640915;5.860990161122158;1.6947147036864942;0.48432886742842646;1.2618730491919006;5.773723698522441;0.9756390518648301;0.6216862795603801;0.8028514559173915;5.787162733762798;1.2042771838760873;0.21432643214490363;1.5271630954950381;0.18308503853420516;1.441641962147316;
211;5.978101753930978;1.4521139376592822;0.5525712411814048;0.7557275661135446;5.705655857694662;0.6003932626860493;0.4143411644234538;1.2653637076958888;6.213721202950212;1.6702800941585736;6.052976378841534;1.3578661580515883;0.5066690818539539;0.9704030641088471;5.708971983273452;0.8883725892651138;0.45308747381772796;1.2042771838760873;6.1405919072916495;1.4748032179352084;
