clusterNumber;delta_1;epsilon_1;zeta_1;alpha_2;beta_2;gamma_2;delta_2;chi_1;chi_2;NN;CC;mu;nu0_1;nu1_1;nu2_1;nu3_1;nu4_1;nu0_2;nu1_2;nu2_2;nu3_2;nu4_2;
1503;4.458204199065;13.954541598699;12.020346576636;12.08954265068;9.499632450779;7.318308592848;3.374132372389;13.714002865121;7.107425319574;0.405950301053;0.454387552883;11.259189762162;5.097444121178;4.527400273108;4.748168699817;5.604881997494;5.967337623434;5.713618685276;4.606481500586;3.36095216781;3.907930657865;5.519210667726;
1507;4.405483380746;14.366422991813;9.608369138561;12.903420283473;11.779807843058;6.800985563097;9.568828524822;6.965738120342;15.325282874982;0.320278971285;0.387498014642;12.873764823168;7.390799718036;6.329793249375;5.0183628937;4.81736477386;6.567036931808;5.93768216313;3.874980146416;4.688857779209;6.649413210431;7.371029411167;
1508;5.117214428047;13.022042124689;12.560734964402;13.262580858268;6.165040692129;9.206372898882;5.357753161626;4.63613696089;10.306919981283;0.2524009177;0.159480475414;3.206084763999;5.285262036438;6.824050921111;6.402284374563;4.197895158617;2.906235109812;3.588310696808;2.184618909076;3.706932538025;5.20618080896;5.222656064684;
1512;11.618350336957;14.231325894872;13.826034604048;15.964522797095;11.203173892698;8.432035879828;6.560446829518;13.555840410165;12.132378315563;0.420448526091;0.369375233345;9.051505495071;11.054896591177;7.693944423368;7.202981802776;10.138872372892;12.25100015678;7.878467287483;6.204581305868;4.375827920442;5.20618080896;7.456700740934;
1513;13.368022494905;12.942960897212;14.547650804783;13.984197059004;15.134169908578;12.939665846067;4.840430131875;14.237915997162;15.068268885679;0.442854873876;0.409904362427;12.979206459806;7.60168299131;3.88486529985;7.288653132544;10.76163703928;11.133977818655;7.028344092096;6.563741880663;5.21936101354;4.599891398296;5.819060321913;
1516;5.318212547887;14.076458491061;13.608561228484;13.354842290326;9.031735188202;9.114111466825;5.357753161626;10.273969469833;12.333376435403;0.445820419906;0.329175609377;11.219649148423;6.49454580662;5.301737292162;3.133593638811;3.430148241853;5.634537457798;6.497840857765;5.077673814308;3.756358305199;4.438433892196;6.165040692129;
1517;4.896446001338;13.199974886515;9.773121695807;14.181900127698;15.107809499418;16.122685252051;4.820659825005;14.092933746786;9.100931262245;0.459000624486;0.226040508541;13.00227181782;11.117502562931;9.776416746952;4.767939006687;4.415368534181;9.723695928633;6.425349732577;5.700438480697;3.960651476183;3.367542270099;5.222656064684;
1520;8.942768807289;12.465178481199;6.975623273777;13.7271830697;13.312006625442;11.934675246869;1.838638538861;13.75354347886;12.115903059839;0.496893712653;0.493269156393;13.348252188036;9.670975110315;7.341373950862;6.171630794419;7.394094769181;9.65449985459;7.067884705835;6.830641023401;5.377523468495;4.26709123266;5.644422611233;
1522;9.789596951531;13.967721803279;12.751847930807;15.440609665054;13.720592967411;12.260885310215;5.407178928799;9.858793025575;6.632937954706;0.257343494418;0.231971600602;11.842413814811;6.48795570433;3.71681769146;3.337886809795;5.894846498246;7.377619513456;9.888448485879;8.188202095105;5.57522653719;5.789404861609;8.731885534015;
1526;3.463098753302;13.143959017051;8.794491505768;13.450398773528;8.820851914928;13.114303556747;5.987107930304;13.621741433063;13.045107482704;0.292271036554;0.21351931419;14.600371623102;4.609776551731;3.34777196323;3.585015645663;4.632841909745;5.361048212771;6.109024822666;6.764740000503;6.777920205083;5.914616805116;5.367638315061;
