clusterNumber;ntc;cana;delta_1_deviation;delta_1_meanValue;epsilon_1_deviation;epsilon_1_meanValue;zeta_1_deviation;zeta_1_meanValue;alpha_2_deviation;alpha_2_meanValue;beta_2_deviation;beta_2_meanValue;gamma_2_deviation;gamma_2_meanValue;delta_2_deviation;delta_2_meanValue;chi_1_deviation;chi_1_meanValue;chi_2_deviation;chi_2_meanValue;NN_deviation;NN_meanValue;CC_deviation;CC_meanValue;mu_deviation;mu_meanValue;ribosePseudorotation_1;ribosePseudorotation_2;
1517;OP31;OPN;0.05183627878423159;1.4433872913993104;0.14241886696273728;3.737448060220657;0.10349802464326374;1.1145672603235788;0.21101030656611444;1.1704177963873974;0.18029251173101427;1.8142697574481057;0.2288126649364566;3.232873373469096;0.05113814708343386;1.4254104001037688;0.17627825445142728;3.671649147420471;0.09634217471008698;3.248406803811846;0.395;9.618;0.137;9.301;0.1377064779823526;0.9688322677820522;0.29181905093345184;0.22183134792847928;
1520;ZZ02;ZZZ;0.09477137838329208;2.51467038627343;0.13369222070276562;4.701393406097125;0.07382742735936014;1.3660692055359616;0.18605209826259553;3.9887754725078404;0.17174039839624203;3.0473448739820994;0.1265363707695889;0.9623745495496733;0.019547687622336492;1.5074408749475026;0.1647590813882647;4.051607325579637;0.1282817000215832;4.832118567071501;0.52;6.217;0.485;6.198;0.2075196480621258;1.061334718137752;2.787988947135742;0.199142067652553;
1522;OP27;OPN;0.10367255756846318;2.7375489317531057;0.15498523757709648;4.539426851512051;0.14590952546672592;1.2356931104119853;0.2033308578573394;1.6151276897955529;0.1694714703686494;2.8281315199316115;0.12985249634837814;2.971073985669947;0.057246799465414;1.432217184186547;0.10437068926926091;3.687008044838021;0.07033676885537149;3.4100242925465207;0.156;8.093;0.141;7.461;0.1392772743091475;0.06178465552059926;3.0277971863597624;0.41015237421866746;
1526;OP29;OPN;0.03665191429188092;1.4295991903085552;0.15184364492350666;4.237833956767432;0.0932005820564972;4.4320891025144;0.14294246573833558;1.250004810278339;0.09354964790689607;3.2412509538786693;0.13892820845874862;1.0281734623498595;0.06335545184739416;1.4936527738567473;0.18936822384138477;3.6051521029194875;0.1499237827463129;3.232175241768299;0.177;9.564;0.13;8.566;0.17139133254584316;2.5082126680410513;0.33335788713091696;0.18570303241219668;
19;AA01;AAw;0.07993607974134029;1.4217452086745808;0.1382300767579509;3.439345823980026;0.11868238913561441;5.079257189153897;0.15550883635269475;2.600540585471551;0.14870205226991687;3.3512066967543115;0.1174606586592184;3.1848768190392525;0.08290313946973064;1.490685714128357;0.11379546723003027;3.563962332572421;0.08848819307611251;3.278077401095749;0.261;4.716;0.233;5.275;0.10088003076527224;0.23858650874762483;0.30141836181942067;0.19687313962496036;
201;OP21;OPN;0.08517206749732328;2.6071728366291294;0.11990411961201045;4.2273619812554655;0.12688543661998775;1.3880603541110903;0.1726130630222392;1.1646582098558163;0.09250245035569946;3.097784889364736;0.14538592669112765;1.0906562495712566;0.1244419756671957;2.512226925320638;0.19530234329816545;3.9838885506022566;0.14224433403753786;4.257032578539369;0.205;10.261;0.104;8.237;0.20961404316451898;4.26907535037813;2.9311059457992767;2.8665287634754866;
207;OP19;OPN;0.07871434926494426;2.528807553214584;0.11676252695842064;3.9334485352196205;0.10838494654884787;1.1218976431819552;0.18413223608540177;1.2910200477002054;0.09389871375729493;3.249977600138641;0.12985249634837814;3.285233251028926;0.06946410422937431;2.19143540880408;0.14503686084072878;4.358610741005439;0.1223475805648025;4.443433742652363;0.29;8.031;0.211;7.348;0.10035643198967394;0.3556981015564444;2.8585002489163127;2.347816909782772;
209;BB14;miB;0.15603243512829304;1.9146261894377794;0.15865042900628457;1.816538685475698;0.12287117934040079;5.326570344161494;0.1699950691442477;3.832917570304747;0.11274826967883368;4.454952915715526;0.10681415022205297;1.4418164950725156;0.18727382873899157;2.317971779573669;0.1551597705022959;4.514468643208533;0.19634954084936207;4.623028122682579;0.186;4.332;0.176;4.854;0.11047934165124106;0.49864056729477996;2.1120229278383382;2.5532421627425044;
210;AB02;A-B;0.1583013631558857;1.6367697725202823;0.1621410875102732;1.0239846721450732;0.1663298777150596;0.971973860435642;0.21519909677090085;3.625572455167821;0.16894787159305108;3.2887239095329153;0.13177235852557187;1.1470303844106733;0.1682497398922534;2.2778292067777994;0.19617500792416262;4.168369852538057;0.15271630954950383;4.3706535128442;0.201;4.353;0.2;4.811;0.1059414855960558;0.4064871827894793;1.1281808284891346;2.5127505240962362;
211;BB15;miB;0.1494001839707146;2.5054201412378605;0.1282817000215832;3.3011157472220747;0.15114551322270892;4.479911124019045;0.19320794819577228;6.017720727951249;0.17470745812463237;3.295705226540893;0.18535396656179778;6.1119685075589425;0.12130038301360589;2.5754078442428328;0.16859880574265224;4.361577800733829;0.1434660645139339;4.57974395723312;0.19;4.374;0.196;4.999;0.07871434926494426;0.3900810878207327;2.9363419335552603;3.052580861738082;
